start_index,observed_variability,RMSE_Physics-Compact,RMSE_DLinear,RMSE_TimeMixer,RMSE_iTransformer,RMSE_PatchTST,mean_modern_RMSE,PhysicsCompact_skill_fraction,eligible,selected
98,1.4091871227594304,1.214959999276861,1.2137287005146584,1.2013667092953744,1.2295540478660394,1.2176573795234649,1.2155767092998844,0.0005073394532037662,0,0
99,1.410072348595645,1.2170922600121594,1.2154380332683066,1.2039822304036758,1.2324507875541753,1.2202531408413675,1.2180310480168814,0.0007707422616611436,0,0
100,1.4106696972460837,1.2179527817856426,1.2160244384806593,1.2051380859446559,1.2340513004353066,1.2216362498232058,1.219212518670957,0.00103323814841375,0,0
101,1.412466080267666,1.2188079886106824,1.216645618067653,1.206024133133982,1.2353827484308313,1.222841770245273,1.2202235674694348,0.0011600979496635476,0,0
102,1.4126454407397744,1.2191813115392995,1.2169607422447128,1.206600599114558,1.236419263042735,1.2236127029523112,1.2208983268385794,0.001406354044014368,0,0
103,1.4142662665709713,1.219331483578723,1.217039493074547,1.2069253920858753,1.2370500055806828,1.2238984852593855,1.2212283440001226,0.001553239761195218,0,0
104,1.4148895900333227,1.2199320967337273,1.2176183725966645,1.2077622888324042,1.2385069669587052,1.2249208061058954,1.2222021086234172,0.0018573130202226855,0,0
105,1.4164495247806905,1.2200321852965428,1.2177126735479138,1.2078933410472843,1.2390297166285924,1.2250479519296849,1.2224209207883687,0.0019541022664152303,0,0
106,1.4159475135418242,1.2209340736152583,1.2185777537180291,1.2089772226845104,1.2399910077013603,1.2259328325938603,1.22336970417444,0.0019909194668388053,0,0
107,1.4157395160052038,1.2217647000190048,1.2193271994699248,1.2100454609954352,1.2413439615374486,1.2270190953392843,1.2244339293355233,0.0021799700682641264,0,0
108,1.4160446842125354,1.2219141772647177,1.2194615694382673,1.2102503307434784,1.2415080146625155,1.2272449419737381,1.2246162142044998,0.0022064357048688305,0,0
109,1.4150507640387826,1.2227662119674074,1.2202030837497628,1.2110352881333328,1.242366905249914,1.228052446604684,1.2254144309344233,0.0021610802844850394,0,0
110,1.4152590336660105,1.2227340582136466,1.2201775848943792,1.2109437293444492,1.2423515244669616,1.2279746432434555,1.2253618704873115,0.0021445193758313063,0,0
111,1.4154327057944605,1.2234943185794045,1.2209093741031565,1.212132860184532,1.243639512412806,1.2290832461041183,1.226441248201153,0.0024028298347523024,0,0
