start_index,variability,rmse_Physics-Compact,rmse_LSTM,rmse_GRU,rmse_CNN-LSTM,mean_comparator_rmse,physics_skill_fraction,eligible,selected
106,2.0116670878575027,1.7752732080165516,1.7638863890919785,1.7545212238513554,1.8500498996626904,1.7894858375353415,0.007942297849288894,1,0
107,2.012845712311626,1.7780009747752903,1.765344370297776,1.7566631826933425,1.8514254991453003,1.7911443507121396,0.007337976937271231,1,0
108,2.015203338473973,1.7796393868624243,1.7671623406159895,1.7584917638325812,1.853165106068906,1.792939736839159,0.007418180156005957,1,0
109,2.0152249575987833,1.7797579257624154,1.7674518255768565,1.7584509421509495,1.8536355041986525,1.7931794239754861,0.007484749174354894,1,0
110,2.0144799947038243,1.7799508179125256,1.7658893393788018,1.7580486613666744,1.8521648681303609,1.7920342896252788,0.006742879744382485,1,0
111,2.014860338089356,1.7822590267637763,1.7667562748686498,1.7601123376582966,1.8531930973232769,1.7933539032834078,0.006186663156289532,1,0
112,2.0135775723482263,1.7830419392254688,1.766292430182578,1.7606661089932958,1.8529904783223996,1.793316339166091,0.005729273590068199,1,0
113,2.01479364877502,1.7831043918991998,1.765329531509591,1.7602168027425305,1.8523889824155744,1.7926451055558985,0.005322143031618162,1,0
114,2.013117565123854,1.7825541675458292,1.762778556624153,1.7590815247128992,1.8500855638493294,1.7906485483954604,0.004520362667975417,1,0
115,2.012844899495464,1.782691214594144,1.7608326009536999,1.7585204093837816,1.8485770410224724,1.7893100171199847,0.0036990809096872396,1,0
116,2.0114809929260438,1.7830668779640448,1.7604951673087454,1.758556727939197,1.8483548506382317,1.789135581962058,0.003391975465245584,1,0
117,2.0121635309726553,1.7834368416939044,1.7612861695985373,1.7588911485010068,1.8491168332732275,1.7897647171242574,0.0035355906672026242,1,0
118,2.0116972584513446,1.7835915962274353,1.7613258544008032,1.7588875543076674,1.849184731545995,1.789799380084822,0.003468424409160556,1,0
119,2.013364333745522,1.7868395839331013,1.762930044000099,1.7608477886653988,1.8512925950570212,1.791690142574173,0.0027072530711715072,1,0
120,2.012311731671721,1.7872213700331065,1.7639353418746433,1.7611553572988923,1.852212138246369,1.7924342791399681,0.002908284653740711,1,0
121,2.0123477778877312,1.7884783323782194,1.7636729333749952,1.7615653273548388,1.8523746048052216,1.7925376218450186,0.002264549104760823,1,0
122,2.0140286859359793,1.7883042372061149,1.7641423899056823,1.7614463597363015,1.8529452827350616,1.792844677459015,0.0025325340839538065,1,0
123,1.9693872017347265,1.7380698756217219,1.7214992152302302,1.7129644352888629,1.813465515960943,1.749309722160012,0.006425303876097709,1,0
124,1.9316386188062435,1.695625566327857,1.6865358770526935,1.67226549645386,1.7808168801229374,1.7132060845431638,0.010261764987832602,1,0
125,1.902715320145927,1.6609595387778708,1.6621047476198305,1.6404625980789116,1.7578237022421594,1.6867970159803007,0.015317478604510198,1,0
126,1.869565045658498,1.6201148765729252,1.6332669129942774,1.60459193055841,1.7303029521463604,1.6560539318996828,0.02170162132674711,1,0
127,1.829714408497064,1.573626027978377,1.5992446478623037,1.5629828014943838,1.6974059981270349,1.6198778158279075,0.028552639833450404,1,0
128,1.7935332697798223,1.5362805666034673,1.571864513456103,1.5306605999123089,1.670806530560643,1.5911105479763517,0.03446019602008146,1,0
129,1.771803566077912,1.514795690029901,1.5589311793219223,1.512820131412297,1.6577075038747,1.5764862715363066,0.03913169598761378,1,0
130,1.7352412786325488,1.4756661338813313,1.5343107869446424,1.4796599148395357,1.6338926981738133,1.549287799985997,0.04751968362839443,1,0
131,1.7056646408457805,1.4445267865342677,1.5137273594440597,1.4520316891754224,1.6140718345401652,1.526610294386549,0.0537684752645177,1,0
132,1.6456142844526394,1.3854868151438744,1.468057691691101,1.397223546135542,1.5700859734546342,1.478455737093759,0.06288245201891277,1,0
133,1.5706184396524214,1.352696546939531,1.4328064350119016,1.3615705519966546,1.5288865365238358,1.4410878411774641,0.061336506847293706,1,0
134,1.4861825812974245,1.3234892944017405,1.407402667203636,1.336409010417818,1.4963499076378828,1.4133871950864456,0.06360458124796214,1,0
135,1.4413765237150769,1.3138232287316156,1.4015878565635762,1.3300652555462738,1.487302137488448,1.406318416532766,0.0657711558874372,1,0
136,1.3980699395336413,1.3054533052480979,1.395918462395745,1.323566052872309,1.4776046933845206,1.3990297362175248,0.06688666334028329,0,0
137,1.3443976658199286,1.298383945055688,1.3913455050092371,1.3187587325531827,1.4686599430146254,1.3929213935256817,0.0678699091775064,0,0
138,1.267621049427794,1.2813386529124202,1.3796453316104325,1.3076944698805826,1.4517136980626222,1.3796844998512123,0.0712814030667141,0,0
139,1.1967486736337114,1.264296041179921,1.3728466691817682,1.29807710448456,1.4407731494706564,1.3705656410456617,0.07753703776249878,0,0
140,1.1287419357890927,1.2548730927059644,1.369674651933068,1.292948369150935,1.4354499151824824,1.3660243120888282,0.08136840493922048,0,0
141,1.0664952764717999,1.2486983362158177,1.3668710195689344,1.290099584294858,1.4301463110737362,1.362372304979176,0.08343825571608038,0,0
142,1.0037278490490895,1.246616097511419,1.3656160071304129,1.2880524355633012,1.4259801939216623,1.359882878871792,0.08329157100230804,0,0
143,0.946890520940344,1.2454069377801829,1.3653936845960235,1.2866101721438985,1.424066689725485,1.3586901821551358,0.08337680352945852,0,0
144,0.8860787791577287,1.2431786722578275,1.3635857533593756,1.2836251394207767,1.4212169389442393,1.3561426105747971,0.08329797872001836,0,0
145,0.8333753085036002,1.2382333327067914,1.3580309326189621,1.27771446314228,1.4150419007368225,1.3502624321660217,0.08296838954448212,0,0
146,0.762622131319495,1.2304496411627708,1.3512455700052959,1.2702393080192145,1.4058059779418635,1.3424302853221246,0.08341635717230811,0,0
147,0.7235201998344881,1.2150739267114468,1.3370057062528136,1.2544166260836318,1.3915786697328887,1.327667000689778,0.08480520636562815,0,0
148,0.6684949981935725,1.2056154937989036,1.3310989636840618,1.2453365782702146,1.3854845647671301,1.320640035573802,0.0870975729014012,0,0
149,0.6401071112290968,1.1897073142914667,1.3154732920495433,1.227334943389464,1.3713265813852262,1.3047116056080779,0.08814537314015224,0,0
150,0.6135329245934306,1.1732136333453307,1.3020767926020298,1.2102830498601067,1.3595854779261884,1.2906484401294416,0.09098899679631824,0,0
151,0.6024342090129773,1.1479428527648365,1.2792668176544193,1.1848249216238882,1.3394181573191564,1.2678366321991545,0.09456563755091502,0,0
152,0.6013773389539109,1.0895703558300456,1.2293125882605624,1.1292162052546222,1.2970414070958283,1.2185234002036711,0.10582730241542475,0,0
153,0.6030516280999842,1.029536118768345,1.176364637610326,1.069463169129821,1.250155920723015,1.1653279091543873,0.11652667830171408,0,0
154,0.6028803076360332,1.0001931242556446,1.1513994978426618,1.0413138191183575,1.2274065453791716,1.140039954113397,0.12266835855460045,0,0
155,0.6013768486364249,0.9542575194067003,1.1152856894831067,0.9988074163351899,1.1946869851955453,1.102926697004614,0.13479515728622515,0,0
156,0.6005438134633977,0.9089628417013428,1.0825248210190892,0.957809338969336,1.1665871594263835,1.0689737731382696,0.14968648947033586,0,0
157,0.6022593213750369,0.8829069254997992,1.0670919132095353,0.9342413867838011,1.1522395931124343,1.0511909643685904,0.16008893205229638,0,0
158,0.5988508312939542,0.8662824229269728,1.052999887754002,0.9158964502659277,1.139840153552598,1.0362454971908426,0.1640181546984982,0,0
159,0.597390928365609,0.8483304236518591,1.037275133070829,0.895018618692367,1.122891082611539,1.0183949447915783,0.16699269964907784,0,0
160,0.596410611600822,0.8081497401134534,1.0009377132778943,0.8511682738047113,1.0888664901061011,0.9803241590629023,0.17563008863724364,0,0
161,0.5928955010069653,0.7818641847112245,0.9784452740766817,0.8210219204768983,1.0649905552347394,0.9548192499294398,0.1811390639966637,0,0
162,0.5936159768440238,0.7721439237478553,0.9716614641112975,0.8135076945399714,1.0548337149676597,0.9466676245396428,0.18435583542498035,0,0
163,0.5916214296311664,0.7669715432293185,0.9673638710950139,0.8089351294593824,1.0466936809321057,0.9409975604955007,0.18493779853642273,0,0
164,0.5901150386725558,0.7577023685821848,0.9585637583861993,0.7987231344908073,1.0345542710729447,0.9306137213166504,0.18580357109911008,0,0
165,0.5912321349120232,0.7583052631282752,0.960370435543955,0.7985159252264238,1.0337812127399315,0.9308891911701034,0.18539685461907096,0,0
166,0.590217520032698,0.7594005470657446,0.9637034690443824,0.7985136693990206,1.0344667358161197,0.9322279580865076,0.18539179126906774,0,0
167,0.5909739240436112,0.7584005223026736,0.9667149794944406,0.7989504242445754,1.036202695896582,0.933956033211866,0.18796978087443653,0,0
168,0.5907800179562523,0.7517222416524988,0.9630952197988517,0.7929346985285053,1.030342851739315,0.9287909233555572,0.1906442852211999,0,0
169,0.5912399166890414,0.7469392053676189,0.962723636571308,0.7874537000002888,1.0274895146732148,0.9258889504149371,0.19327344274615424,0,0
170,0.5946959754744915,0.7488056797179167,0.9687816624519154,0.7903481231511031,1.0316900166941658,0.9302732674323947,0.1950691200826812,0,0
171,0.6136358751258256,0.7576533251070398,0.9846392523326011,0.8010594230884563,1.0461378541775406,0.9439455098661993,0.1973548078909404,0,0
172,0.6228470991514308,0.7615162061681993,0.9943832564187213,0.8067699031242148,1.0557232861205306,0.952292148554489,0.20033341939852584,0,0
173,0.6269122279572579,0.7609329538060929,0.999916119714571,0.8089660979076675,1.0609527229656084,0.9566116468626156,0.20455395216887334,0,0
174,0.6305678696163002,0.7548724060885555,1.001069352418344,0.8058121357260436,1.061221126444671,0.9560342048630196,0.210412763216235,0,0
175,0.6339555613673842,0.7487455437208284,1.0004866727692319,0.8009967822679969,1.0605322461941276,0.9540052337437853,0.21515572741405214,0,0
176,0.646691493384437,0.7547714020595792,1.0117664001390878,0.8090096074856468,1.0726179764130959,0.9644646613459434,0.21741932876392814,0,0
177,0.651468393343448,0.7488004542643754,1.0095857646059585,0.8030101641101172,1.068977725199503,0.9605245513051929,0.22042549225120767,0,0
178,0.659626970682817,0.7507211684820129,1.0133687754703427,0.8034539908760752,1.0703625489491981,0.9623951050985387,0.21994494308535859,0,0
179,0.6578098794639875,0.7425503473337973,1.0106241581844322,0.7968735550992845,1.0665142807978798,0.9580039980271988,0.2248984880408448,0,0
180,0.6638762716275685,0.7412208584396915,1.0151129560116903,0.7971893238444453,1.0715179001660908,0.9612733933407421,0.22891774226299497,0,0
181,0.6810083754889327,0.750475178253754,1.0291282679010894,0.8069040944522191,1.0890613317787685,0.975031231377359,0.23030652341914246,0,0
182,0.6880094992822062,0.7544157044286373,1.0332516336599669,0.8108635830059363,1.09419879324217,0.979438003302691,0.22974634240786307,0,0
183,0.6892758786335514,0.7497630302994136,1.0301927111515785,0.8061546083466045,1.0910392882643989,0.9757955359208607,0.23163920852347375,0,0
184,0.689302148274513,0.7446311351132658,1.0251128145653887,0.8002437527419618,1.0844589343514655,0.9699385005529386,0.23229036202937658,0,0
185,0.6913889845958167,0.7464659177641505,1.0261733246037992,0.8011448791056431,1.085352003127202,0.9708900689455481,0.2311529990466761,0,0
186,0.6932464226655645,0.7457321136513726,1.0233127896213532,0.7981120333190942,1.0825407073184834,0.9679885100863101,0.2296064406953758,0,0
187,0.696143359884598,0.7552952778805992,1.0248479607233327,0.8057554525375659,1.081970327833697,0.9708579136981985,0.22203314488777934,0,0
188,0.6961420475278541,0.7598050571588612,1.0240566255933978,0.8085501787030986,1.0803745918564733,0.9709937987176566,0.2174975183545991,0,0
189,0.698531991562401,0.7624418116996826,1.0221857313173046,0.8095180308950397,1.0778687594582763,0.9698575072235402,0.213862030225076,0,0
190,0.7005811389074611,0.7712362084123839,1.0228994152100344,0.8161304580597765,1.0775566580098426,0.9721955104265511,0.20670667562124018,0,0
191,0.7053800235335386,0.7811299853202025,1.023284997868884,0.8253243303298268,1.0755926517302792,0.9747339933096634,0.19862240295127861,0,0
192,0.7094624001106306,0.7915819285891967,1.0241985775835418,0.833921983155424,1.0746749907711117,0.9775985171700259,0.19027912308962389,0,0
193,0.7311792640572048,0.820035284865361,1.034929992889604,0.8583766027115223,1.0821402675285257,0.9918156210432173,0.17319785304165028,0,0
194,0.7440142132048156,0.8401026417176846,1.0429323977841545,0.8772165686326131,1.0879028386414136,1.0026839350193937,0.16214610369574187,0,0
